date;state;confirmed;deaths
2020-04-20;Acre;12;0
2020-04-20;Acre;1;0
2020-04-20;Acre;5;0
2020-04-20;Acre;19;1
2020-04-20;Acre;1;0
2020-04-20;Acre;136;7
2020-04-20;Acre;2;0
2020-04-20;Acre;176;8
2020-04-20;Alagoas;1;0
2020-04-20;Alagoas;1;0
2020-04-20;Alagoas;1;1
2020-04-20;Alagoas;8;2
2020-04-20;Alagoas;140;12
2020-04-20;Alagoas;6;1
2020-04-20;Alagoas;2;0
2020-04-20;Alagoas;1;0
2020-04-20;Alagoas;1;0
2020-04-20;Alagoas;1;0
2020-04-20;Alagoas;5;0
2020-04-20;Alagoas;1;1
2020-04-20;Alagoas;1;0
2020-04-20;Alagoas;1;0
2020-04-20;Alagoas;1;1
2020-04-20;Alagoas;171;18
2020-04-20;Amazonas;1;0
2020-04-20;Amazonas;6;0
2020-04-20;Amazonas;2;0
2020-04-20;Amazonas;1;0
2020-04-20;Amazonas;1;0
2020-04-20;Amazonas;1;1
2020-04-20;Amazonas;6;1
2020-04-20;Amazonas;4;0
2020-04-20;Amazonas;2;0
2020-04-20;Amazonas;24;3
2020-04-20;Amazonas;27;1
2020-04-20;Amazonas;1;0
2020-04-20;Amazonas;1;0
2020-04-20;Amazonas;2;0
2020-04-20;Amazonas;201;13
2020-04-20;Amazonas;1772;156
2020-04-20;Amazonas;1;1
2020-04-20;Amazonas;22;2
2020-04-20;Amazonas;2;1
2020-04-20;Amazonas;21;3
2020-04-20;Amazonas;11;1
2020-04-20;Amazonas;1;0
2020-04-20;Amazonas;10;0
2020-04-20;Amazonas;0;0
2020-04-20;Amazonas;11;0
2020-04-20;Amazonas;11;1
2020-04-20;Amazonas;5;1
2020-04-20;Amazonas;13;0
2020-04-20;Amazonas;2160;185
2020-04-20;Amapá;7;0
2020-04-20;Amapá;358;11
2020-04-20;Amapá;2;0
2020-04-20;Amapá;5;0
2020-04-20;Amapá;1;0
2020-04-20;Amapá;60;2
2020-04-20;Amapá;2;0
2020-04-20;Amapá;435;13
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;1
2020-04-20;Bahia;1;0
2020-04-20;Bahia;6;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;1
2020-04-20;Bahia;1;0
2020-04-20;Bahia;2;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;3;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;2;1
2020-04-20;Bahia;0;0
2020-04-20;Bahia;8;0
2020-04-20;Bahia;2;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;25;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;5;0
2020-04-20;Bahia;6;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;2;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;4;0
2020-04-20;Bahia;3;0
2020-04-20;Bahia;3;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;3;0
2020-04-20;Bahia;2;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;13;0
2020-04-20;Bahia;58;1
2020-04-20;Bahia;2;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;5;2
2020-04-20;Bahia;0;0
2020-04-20;Bahia;4;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;79;3
2020-04-20;Bahia;10;1
2020-04-20;Bahia;16;1
2020-04-20;Bahia;2;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;53;1
2020-04-20;Bahia;2;0
2020-04-20;Bahia;4;1
2020-04-20;Bahia;6;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;1
2020-04-20;Bahia;5;0
2020-04-20;Bahia;5;1
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;4;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;4;0
2020-04-20;Bahia;19;0
2020-04-20;Bahia;7;1
2020-04-20;Bahia;34;4
2020-04-20;Bahia;2;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;0;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;17;0
2020-04-20;Bahia;4;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;2;0
2020-04-20;Bahia;824;23
2020-04-20;Bahia;7;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;2;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;2;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;4;0
2020-04-20;Bahia;5;0
2020-04-20;Bahia;3;0
2020-04-20;Bahia;8;0
2020-04-20;Bahia;4;0
2020-04-20;Bahia;2;0
2020-04-20;Bahia;13;2
2020-04-20;Bahia;1;1
2020-04-20;Bahia;3;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;1;0
2020-04-20;Bahia;20;1
2020-04-20;Bahia;1377;47
2020-04-20;Ceará;3;1
2020-04-20;Ceará;1;1
2020-04-20;Ceará;2;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;38;0
2020-04-20;Ceará;10;1
2020-04-20;Ceará;3;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;2;0
2020-04-20;Ceará;3;0
2020-04-20;Ceará;5;0
2020-04-20;Ceará;5;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;7;0
2020-04-20;Ceará;1;1
2020-04-20;Ceará;2;0
2020-04-20;Ceará;1;1
2020-04-20;Ceará;7;1
2020-04-20;Ceará;1;0
2020-04-20;Ceará;89;6
2020-04-20;Ceará;2;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;3;0
2020-04-20;Ceará;5;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;30;4
2020-04-20;Ceará;1;1
2020-04-20;Ceará;2840;164
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;18;2
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;3;0
2020-04-20;Ceará;9;4
2020-04-20;Ceará;82;0
2020-04-20;Ceará;3;0
2020-04-20;Ceará;2;0
2020-04-20;Ceará;2;1
2020-04-20;Ceará;1;0
2020-04-20;Ceará;6;1
2020-04-20;Ceará;1;0
2020-04-20;Ceará;5;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;10;2
2020-04-20;Ceará;3;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;5;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;6;2
2020-04-20;Ceará;79;5
2020-04-20;Ceará;18;2
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;5;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;2;0
2020-04-20;Ceará;5;0
2020-04-20;Ceará;12;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;3;1
2020-04-20;Ceará;2;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;3;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;18;0
2020-04-20;Ceará;5;1
2020-04-20;Ceará;2;0
2020-04-20;Ceará;5;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;7;0
2020-04-20;Ceará;1;1
2020-04-20;Ceará;3;0
2020-04-20;Ceará;3;1
2020-04-20;Ceará;5;1
2020-04-20;Ceará;3;0
2020-04-20;Ceará;4;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;29;0
2020-04-20;Ceará;4;0
2020-04-20;Ceará;4;0
2020-04-20;Ceará;4;1
2020-04-20;Ceará;2;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;3;0
2020-04-20;Ceará;1;0
2020-04-20;Ceará;3485;206
2020-04-20;Espírito Santo;2;0
2020-04-20;Espírito Santo;14;0
2020-04-20;Espírito Santo;0;0
2020-04-20;Espírito Santo;7;0
2020-04-20;Espírito Santo;1;0
2020-04-20;Espírito Santo;8;0
2020-04-20;Espírito Santo;1;0
2020-04-20;Espírito Santo;5;0
2020-04-20;Espírito Santo;1;0
2020-04-20;Espírito Santo;8;0
2020-04-20;Espírito Santo;121;1
2020-04-20;Espírito Santo;2;0
2020-04-20;Espírito Santo;17;0
2020-04-20;Espírito Santo;7;0
2020-04-20;Espírito Santo;10;0
2020-04-20;Espírito Santo;2;0
2020-04-20;Espírito Santo;48;1
2020-04-20;Espírito Santo;2;0
2020-04-20;Espírito Santo;1;0
2020-04-20;Espírito Santo;2;0
2020-04-20;Espírito Santo;23;1
2020-04-20;Espírito Santo;3;0
2020-04-20;Espírito Santo;1;0
2020-04-20;Espírito Santo;1;0
2020-04-20;Espírito Santo;3;1
2020-04-20;Espírito Santo;2;0
2020-04-20;Espírito Santo;1;0
2020-04-20;Espírito Santo;3;0
2020-04-20;Espírito Santo;4;0
2020-04-20;Espírito Santo;2;0
2020-04-20;Espírito Santo;1;0
2020-04-20;Espírito Santo;12;1
2020-04-20;Espírito Santo;2;0
2020-04-20;Espírito Santo;288;11
2020-04-20;Espírito Santo;2;0
2020-04-20;Espírito Santo;5;0
2020-04-20;Espírito Santo;12;1
2020-04-20;Espírito Santo;1;0
2020-04-20;Espírito Santo;322;8
2020-04-20;Espírito Santo;265;9
2020-04-20;Espírito Santo;1212;34
2020-04-20;Maranhão;2;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;1;1
2020-04-20;Maranhão;3;0
2020-04-20;Maranhão;6;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;4;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;7;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;2;0
2020-04-20;Maranhão;1;1
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;0;0
2020-04-20;Maranhão;34;3
2020-04-20;Maranhão;0;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;3;0
2020-04-20;Maranhão;2;0
2020-04-20;Maranhão;0;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;45;3
2020-04-20;Maranhão;5;1
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;5;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;105;4
2020-04-20;Maranhão;1132;47
2020-04-20;Maranhão;9;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;3;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;2;0
2020-04-20;Maranhão;3;0
2020-04-20;Maranhão;1;0
2020-04-20;Maranhão;3;0
2020-04-20;Maranhão;1396;60
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;7;0
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;7;0
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;1;1
2020-04-20;Minas Gerais;460;8
2020-04-20;Minas Gerais;10;0
2020-04-20;Minas Gerais;6;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;1
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;7;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;11;0
2020-04-20;Minas Gerais;36;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;6;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;39;1
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;1;1
2020-04-20;Minas Gerais;16;1
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;8;2
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;4;0
2020-04-20;Minas Gerais;12;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;8;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;6;1
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;4;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;95;2
2020-04-20;Minas Gerais;14;0
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;6;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;9;1
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;0;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;5;0
2020-04-20;Minas Gerais;5;1
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;5;0
2020-04-20;Minas Gerais;2;1
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;45;0
2020-04-20;Minas Gerais;1;1
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;1
2020-04-20;Minas Gerais;8;0
2020-04-20;Minas Gerais;5;0
2020-04-20;Minas Gerais;4;2
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;12;1
2020-04-20;Minas Gerais;9;1
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;2;1
2020-04-20;Minas Gerais;8;1
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;21;2
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;10;0
2020-04-20;Minas Gerais;5;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;4;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;2;1
2020-04-20;Minas Gerais;2;1
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;4;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;6;0
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;8;0
2020-04-20;Minas Gerais;3;0
2020-04-20;Minas Gerais;2;1
2020-04-20;Minas Gerais;4;0
2020-04-20;Minas Gerais;23;2
2020-04-20;Minas Gerais;71;4
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;11;1
2020-04-20;Minas Gerais;1;0
2020-04-20;Minas Gerais;2;0
2020-04-20;Minas Gerais;0;0
2020-04-20;Minas Gerais;0;0
2020-04-20;Minas Gerais;1189;41
2020-04-20;Mato Grosso do Sul;1;0
2020-04-20;Mato Grosso do Sul;1;0
2020-04-20;Mato Grosso do Sul;6;2
2020-04-20;Mato Grosso do Sul;89;2
2020-04-20;Mato Grosso do Sul;8;0
2020-04-20;Mato Grosso do Sul;2;0
2020-04-20;Mato Grosso do Sul;1;0
2020-04-20;Mato Grosso do Sul;11;0
2020-04-20;Mato Grosso do Sul;1;0
2020-04-20;Mato Grosso do Sul;1;0
2020-04-20;Mato Grosso do Sul;2;0
2020-04-20;Mato Grosso do Sul;1;0
2020-04-20;Mato Grosso do Sul;11;0
2020-04-20;Mato Grosso do Sul;1;0
2020-04-20;Mato Grosso do Sul;2;0
2020-04-20;Mato Grosso do Sul;1;0
2020-04-20;Mato Grosso do Sul;1;0
2020-04-20;Mato Grosso do Sul;1;0
2020-04-20;Mato Grosso do Sul;1;0
2020-04-20;Mato Grosso do Sul;11;0
2020-04-20;Mato Grosso do Sul;18;1
2020-04-20;Mato Grosso do Sul;171;5
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;2;1
2020-04-20;Mato Grosso;3;1
2020-04-20;Mato Grosso;4;1
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;0;0
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;96;1
2020-04-20;Mato Grosso;4;0
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;1;1
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;4;0
2020-04-20;Mato Grosso;24;1
2020-04-20;Mato Grosso;4;0
2020-04-20;Mato Grosso;13;0
2020-04-20;Mato Grosso;5;0
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;9;0
2020-04-20;Mato Grosso;1;0
2020-04-20;Mato Grosso;181;6
2020-04-20;Pará;6;0
2020-04-20;Pará;1;0
2020-04-20;Pará;1;0
2020-04-20;Pará;6;0
2020-04-20;Pará;88;1
2020-04-20;Pará;1;0
2020-04-20;Pará;5;0
2020-04-20;Pará;610;23
2020-04-20;Pará;8;0
2020-04-20;Pará;5;0
2020-04-20;Pará;3;0
2020-04-20;Pará;2;0
2020-04-20;Pará;1;0
2020-04-20;Pará;2;1
2020-04-20;Pará;1;1
2020-04-20;Pará;4;0
2020-04-20;Pará;1;0
2020-04-20;Pará;17;0
2020-04-20;Pará;1;0
2020-04-20;Pará;1;0
2020-04-20;Pará;1;0
2020-04-20;Pará;1;0
2020-04-20;Pará;2;0
2020-04-20;Pará;1;0
2020-04-20;Pará;6;0
2020-04-20;Pará;3;0
2020-04-20;Pará;1;0
2020-04-20;Pará;5;0
2020-04-20;Pará;1;0
2020-04-20;Pará;17;1
2020-04-20;Pará;1;0
2020-04-20;Pará;2;0
2020-04-20;Pará;1;0
2020-04-20;Pará;2;0
2020-04-20;Pará;1;0
2020-04-20;Pará;3;0
2020-04-20;Pará;1;0
2020-04-20;Pará;2;0
2020-04-20;Pará;19;4
2020-04-20;Pará;1;0
2020-04-20;Pará;1;0
2020-04-20;Pará;2;1
2020-04-20;Pará;2;0
2020-04-20;Pará;2;0
2020-04-20;Pará;2;0
2020-04-20;Pará;3;0
2020-04-20;Pará;2;0
2020-04-20;Pará;28;2
2020-04-20;Pará;7;0
2020-04-20;Pará;1;0
2020-04-20;Pará;2;1
2020-04-20;Pará;1;0
2020-04-20;Pará;1;0
2020-04-20;Pará;4;0
2020-04-20;Pará;8;0
2020-04-20;Pará;1;0
2020-04-20;Pará;902;35
2020-04-20;Paraíba;9;1
2020-04-20;Paraíba;1;0
2020-04-20;Paraíba;11;2
2020-04-20;Paraíba;12;2
2020-04-20;Paraíba;1;0
2020-04-20;Paraíba;1;0
2020-04-20;Paraíba;185;20
2020-04-20;Paraíba;3;1
2020-04-20;Paraíba;8;2
2020-04-20;Paraíba;2;0
2020-04-20;Paraíba;1;0
2020-04-20;Paraíba;1;1
2020-04-20;Paraíba;20;2
2020-04-20;Paraíba;1;0
2020-04-20;Paraíba;1;0
2020-04-20;Paraíba;3;1
2020-04-20;Paraíba;1;0
2020-04-20;Paraíba;1;0
2020-04-20;Paraíba;1;1
2020-04-20;Paraíba;263;33
2020-04-20;Pernambuco;29;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;5;1
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;1
2020-04-20;Pernambuco;2;0
2020-04-20;Pernambuco;10;2
2020-04-20;Pernambuco;4;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;2;1
2020-04-20;Pernambuco;3;1
2020-04-20;Pernambuco;1;1
2020-04-20;Pernambuco;30;11
2020-04-20;Pernambuco;8;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;105;8
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;1
2020-04-20;Pernambuco;3;0
2020-04-20;Pernambuco;15;2
2020-04-20;Pernambuco;2;1
2020-04-20;Pernambuco;2;0
2020-04-20;Pernambuco;3;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;3;0
2020-04-20;Pernambuco;2;0
2020-04-20;Pernambuco;27;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;2;0
2020-04-20;Pernambuco;1;1
2020-04-20;Pernambuco;7;1
2020-04-20;Pernambuco;3;0
2020-04-20;Pernambuco;6;3
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;23;5
2020-04-20;Pernambuco;4;0
2020-04-20;Pernambuco;11;1
2020-04-20;Pernambuco;10;1
2020-04-20;Pernambuco;8;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;2;0
2020-04-20;Pernambuco;204;18
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;5;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;2;1
2020-04-20;Pernambuco;1;1
2020-04-20;Pernambuco;8;3
2020-04-20;Pernambuco;2;2
2020-04-20;Pernambuco;2;1
2020-04-20;Pernambuco;10;2
2020-04-20;Pernambuco;233;19
2020-04-20;Pernambuco;5;3
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;11;6
2020-04-20;Pernambuco;153;6
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;9;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;6;1
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1552;107
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;8;0
2020-04-20;Pernambuco;0;0
2020-04-20;Pernambuco;2;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;4;0
2020-04-20;Pernambuco;1;1
2020-04-20;Pernambuco;1;0
